Company / Entity Name,Effective Date,Agreement Type,OIG Status,Requires Training of Covered Persons/Entities,When Training Must Begin & Deadline,Mandatory Training Scope & Requirements,Official OIG Agreement PDF,HHS-OIG Listing URL
"EyePoint, Inc.","July 13, 2026",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Jul 13, 2026); Deadline: Oct 11, 2026","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/11828/EyePoint_Inc_07132026.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/eyepoint-inc/
Advanced Pathology Solutions,"June 17, 2026",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Jun 17, 2026); Deadline: Sep 15, 2026","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/advanced-pathology-solutions/
"Family Health Care Associates, LLC and Family Health Care Associates of Barbourville Inc., Family Health Care Associates 2 LLC, Family Health Care Associates 3 LLC, Family Health Care Associates 4 LLC, Family Health Care Associates 7 LLC, Family Health Care Associates 8 LLC, Gina Good","June 3, 2026",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Jun 03, 2026); Deadline: Sep 01, 2026","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/11684/Family_Health_Care_Associates_LLC.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/family-health-care-associates-llc/
"Tatyana Kolesnikova and Tatyanas Case Management, LLC","June 3, 2026",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Jun 03, 2026); Deadline: Sep 01, 2026","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/11691/Tatyanas_Case_Management_LLC_and_Tatyana_Kolesnikova_06032026.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/tatyana-kolesnikova-and-tatyanas-case-management-llc/
"Preferred Family Healthcare, Inc.","October 19, 2020",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Oct 19, 2020); Deadline: Jan 17, 2021","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/preferred-family-healthcare-inc/
Community Care Health Network LLC d/b/a Matrix Medical Network,"May 21, 2026",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (May 21, 2026); Deadline: Aug 19, 2026","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/11697/Community__Care_Health_Network_LLC_DBA_Matrix_Medical_Network_05212026.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/community-care-health-network-llc-dba-matrix-medical-network/
"Feel Well Health Center of Southington, P.C. and Kevin P. Greene, M.D.","November 8, 2022",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Nov 08, 2022); Deadline: Feb 06, 2023","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/feel-well-health-center-of-southington-pc-and-kevin-p-greene-md/
"Agendia, Inc.","January 13, 2021",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Jan 13, 2021); Deadline: Apr 13, 2021","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/agendia-inc/
Recovery Center of USA LLC,"May 4, 2026",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (May 04, 2026); Deadline: Aug 02, 2026","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/11592/Recovery_Center_of_USA_LLC_05042026.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/recovery-center-of-usa-llc/
"Saber Healthcare Holdings, LLC; and Saber Healthcare Group, LLC (SHG); Autumn Care of Altavista, LP; Wrightsville Health Holdings, LLC d/b/a Azalea Health and Rehab Center; Chatham Health and Rehabilitation Center, LLC; Dunmore Healthcare Group, Inc. d.b.a. Dunmore Health Care Center; Harnett Healthcare Group, LLC d.b.a. Emerald Health and Rehab Center; South Broadway Healthcare Group, Inc. d.b.a. Amberwood Manor; Danville Healthcare Group, Inc. d.b.a. Stratford Rehabilitation Center; Waddell Nursing and Rehab Center, Inc.; and Woodlands Healthcare Group, LLC d.b.a. Woodlands Health and Rehabilitation Center","March 31, 2020",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Mar 31, 2020); Deadline: Jun 29, 2020","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/saber-healthcare-holdings-llc/
"Modern Nuclear, Inc.","April 10, 2026",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Apr 10, 2026); Deadline: Jul 09, 2026","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/11591/Modern_Nuclear_Inc_04102026.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/modern-nuclear-inc/
Novartis Corporation,"June 30, 2020",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Jun 30, 2020); Deadline: Sep 28, 2020","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/novartis-corporation/
"Advanced Urology Institute of Georgia, P.C. and Advanced Urology Anesthesia LLC, Advanced Urology Surgery Center L.L.C., Men’s Health Georgia LLC, Surgery Center of Lawrenceville LLC, Urology Surgery Center Johns Creek LLC, The Center for Special Surgery LLC, Sandy Springs Center for Urologic Surgery LLC, Advanced Realty Solutions, LL, and Advanced Management Solutions LLC","March 31, 2026",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Mar 31, 2026); Deadline: Jun 29, 2026","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/11578/Advanced_Urology_Institute_of_Georgia_PC_Advanced_Urology_Anesthesia.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/advanced-urology-institute-of-georgia-pc/
"Universal Health Services, Inc. and UHS of Delaware, Inc.","July 6, 2020",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Jul 06, 2020); Deadline: Oct 04, 2020","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/universal-health-services-inc-and-uhs-of-delaware-inc/
"Apria Healthcare Group, Inc. and Apria Healthcare LLC","December 14, 2020",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Dec 14, 2020); Deadline: Mar 14, 2021","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/apria-healthcare-group-inc-and-apria-healthcare-llc/
"Kinex Medical Company, LLC","March 2, 2026",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Mar 02, 2026); Deadline: May 31, 2026","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/11521/Kinex_Medical_Company_LLC_03022026.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/kinex-medical-company-llc/
"DUSA Pharmaceuticals, Inc. and Sun Pharmaceutical Industries, Inc.","August 11, 2020",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Aug 11, 2020); Deadline: Nov 09, 2020","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/dusa-pharmaceuticals-inc-and-sun-pharmaceutical-industries-inc/
"Dr. Mark Malone, Mark Malone M.D., P.A. and doing business as Advanced Pain Care, Round Rock Surgery Center, LLC, APC-Amarillo Surgical Operating Company, LLC, Killeen Surgical Operating Company, LLC, Waco Surgical Operating Company, LLC, Southwest Surgical Operating Company, LLC, Shoal Creek Pharmacy Operations, LLC, Palo Duro Pharmacy Operations, LLC, APC Pharmacy, LLC, Advanced Anesthesiology, Advanced Health Holdings, LLC, Advanced RX Pharmacy, APC Investments LLC, APC360 LLC, 6000 South Mopac APC LLC, MMJ Partners, LP, AND MMC Holdco, LLC","November 21, 2025",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Nov 21, 2025); Deadline: Feb 19, 2026","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/11294/Mark_Malone_MD_PA_doing_business_as_Advanced_Pain_Care_et_al_11212025.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/dr-mark-malone-mark-malone-md-pa/
"Sterling Healthcare Opco, LLC d.b.a. Cordant Health Solutions","July 16, 2020",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Jul 16, 2020); Deadline: Oct 14, 2020","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/sterling-healthcare-opco-llc-dba-cordant-health-solutions/
"CVS Pharmacy, Inc.",N/A,Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),Immediate (Day 1 - within 30 days of hire/execution),"Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/cvs-pharmacy-inc/
"Diversicare Healthcare Services, Inc.","February 14, 2020",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Feb 14, 2020); Deadline: May 14, 2020","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/diversicare-healthcare-services-inc/
"Lipshutz & Wills Medical Group, LLP d.b.a. Monos Health,  Jeremy M. Lipshutz, M.D., Ltd., and 215 Surgery Center, LLC, and Dr. Jeremy Lipshutz","December 28, 2021",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Dec 28, 2021); Deadline: Mar 28, 2022","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/lipshutz-wills-medical-group-llp-dba-monos-health-jeremy-m-lipshutz-md-ltd/
"OGCC Behavioral Health Services, Inc. and Dionne Huffman","February 2, 2022",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Feb 02, 2022); Deadline: May 03, 2022","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/ogcc-behavioral-health-services-inc-and-dionne-huffman/
"American Health Foundation, Inc.","June 3, 2025",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Jun 03, 2025); Deadline: Sep 01, 2025","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/10351/American_Health_Foundation_et_al_06032025.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/american-health-foundation-inc/
"Align Health and Holistic Medical Center, Inc.; Eric Anderson, D.C., and Align Health Management, Inc.; Eric Anderson, P.A. d.b.a. Anderson Chiropractic Clinic;  and Hilary Anderson","September 7, 2021",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Sep 07, 2021); Deadline: Dec 06, 2021","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/align-health-and-holistic-medical-center-inc-eric-anderson-dc/
Fresno Community Hospital and Medical Center d.b.a. Community Health System,"May 7, 2025",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (May 07, 2025); Deadline: Aug 05, 2025","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/10275/Fresno_Community_Hospital_and_Medical_Center_05072025.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/fresno-community-hospital-and-medical-center-dba-community-health-system/
"Northwell Health, Inc. and Lenox Hill Hospital","December 23, 2019",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Dec 23, 2019); Deadline: Mar 22, 2020","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/northwell-health-inc-and-lenox-hill-hospital/
"A&R Pharmacy Inc. United Diabetic Supply, Inc. Daniel Spivak, and George Spivak","March 24, 2025",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Mar 24, 2025); Deadline: Jun 22, 2025","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/11209/AR_Pharmacy_Inc_United_Diabetic_Supply_Inc_Daniel_Spivak_and_George_Spivak_03242025.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/ar-pharmacy-inc-united-diabetic-supply-inc-daniel-spivak-and-george-spivak/
"Sanford Health, Sanford Clinic, and Sanford Medical Center","October 25, 2019",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Oct 25, 2019); Deadline: Jan 23, 2020","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/sanford-health-sanford-clinic-and-sanford-medical-center/
"CRC Health, LLC and Acadia Healthcare Company, Inc.","May 3, 2019",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (May 03, 2019); Deadline: Aug 01, 2019","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/crc-health-llc-and-acadia-healthcare-company-inc/
"Princeton Pathology Services, P.A.","December 7, 2021",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Dec 07, 2021); Deadline: Mar 07, 2022","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/princeton-pathology-services-pa/
"Olive Street Pharmacy, LLC","September 30, 2021",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Sep 30, 2021); Deadline: Dec 29, 2021","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/olive-street-pharmacy-llc/
"Greenway Health, LLC","February 5, 2019",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Feb 05, 2019); Deadline: May 06, 2019","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/greenway-health-llc/
Independent Health Association,"December 13, 2024",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Dec 13, 2024); Deadline: Mar 13, 2025","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/10158/Independent_Health_Association_12132024.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/independent-health-association/
"Southeastern Behavioral Healthcare Services, LLC","November 22, 2024",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Nov 22, 2024); Deadline: Feb 20, 2025","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/10077/Southeastern_Behavioral_Healthcare_Services_LLC_11222024.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/southeastern-behavioral-healthcare-services-llc/
University of Colorado Health d.b.a. UCHealth,N/A,Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),Immediate (Day 1 - within 30 days of hire/execution),"Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/university-of-colorado-health-dba-uchealth/
"Tennessee Health Management, Inc.","February 1, 2019",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Feb 01, 2019); Deadline: May 02, 2019","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/tennessee-health-management-inc/
Daiya Healthcare and Dr. Bhupinder Walia,"October 21, 2024",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Oct 21, 2024); Deadline: Jan 19, 2025","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/11037/Daiya_Healthcare_and_Dr_Bhupinger_Walia_10212024.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/daiya-healthcare-and-dr-bhupinder-walia/
"Avanir Pharmaceuticals, Inc.","September 25, 2019",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Sep 25, 2019); Deadline: Dec 24, 2019","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/avanir-pharmaceuticals-inc/
Jazz Pharmaceuticals PLC,"April 3, 2019",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Apr 03, 2019); Deadline: Jul 02, 2019","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/jazz-pharmaceuticals-plc/
